"PassengerId","Survived"
"892","x0"
"893","x0"
"894","x0"
"895","x0"
"896","x0"
"897","x0"
"898","x0"
"899","x0"
"900","x0"
"901","x0"
"902","x0"
"903","x1"
"904","x0"
"905","x1"
"906","x1"
"907","x0"
"908","x1"
"909","x0"
"910","x0"
"911","x1"
"912","x1"
"913","x1"
"914","x1"
"915","x0"
"916","x1"
"917","x0"
"918","x0"
"919","x0"
"920","x0"
"921","x1"
"922","x0"
"923","x0"
"924","x0"
"925","x0"
"926","x0"
"927","x0"
"928","x1"
"929","x1"
"930","x0"
"931","x0"
"932","x1"
"933","x1"
"934","x1"
"935","x0"
"936","x1"
"937","x1"
"938","x0"
"939","x0"
"940","x0"
"941","x1"
"942","x0"
"943","x0"
"944","x0"
"945","x1"
"946","x1"
"947","x0"
"948","x0"
"949","x0"
"950","x1"
"951","x1"
"952","x0"
"953","x0"
"954","x0"
"955","x1"
"956","x0"
"957","x1"
"958","x0"
"959","x1"
"960","x1"
"961","x0"
"962","x0"
"963","x1"
"964","x0"
"965","x1"
"966","x0"
"967","x1"
"968","x0"
"969","x0"
"970","x1"
"971","x0"
"972","x1"
"973","x0"
"974","x1"
"975","x0"
"976","x0"
"977","x1"
"978","x0"
"979","x0"
"980","x0"
"981","x0"
"982","x1"
"983","x1"
"984","x1"
"985","x0"
"986","x1"
"987","x1"
"988","x1"
"989","x1"
"990","x1"
"991","x0"
"992","x1"
"993","x0"
"994","x0"
"995","x0"
"996","x0"
"997","x0"
"998","x0"
"999","x0"
"1000","x0"
"1001","x0"
"1002","x1"
"1003","x0"
"1004","x0"
"1005","x1"
"1006","x0"
"1007","x0"
"1008","x1"
"1009","x0"
"1010","x0"
"1011","x0"
"1012","x1"
"1013","x1"
"1014","x0"
"1015","x0"
"1016","x1"
"1017","x1"
"1018","x1"
"1019","x1"
"1020","x1"
"1021","x1"
"1022","x0"
"1023","x1"
"1024","x0"
"1025","x0"
"1026","x0"
"1027","x0"
"1028","x0"
"1029","x0"
"1030","x1"
"1031","x1"
"1032","x1"
"1033","x1"
"1034","x1"
"1035","x0"
"1036","x0"
"1037","x1"
"1038","x1"
"1039","x0"
"1040","x1"
"1041","x0"
"1042","x0"
"1043","x0"
"1044","x1"
"1045","x0"
"1046","x1"
"1047","x0"
"1048","x1"
"1049","x0"
"1050","x0"
"1051","x1"
"1052","x0"
"1053","x1"
"1054","x0"
"1055","x0"
"1056","x0"
"1057","x1"
"1058","x0"
"1059","x0"
"1060","x0"
"1061","x0"
"1062","x1"
"1063","x0"
"1064","x0"
"1065","x1"
"1066","x1"
"1067","x0"
"1068","x1"
"1069","x0"
"1070","x1"
"1071","x0"
"1072","x0"
"1073","x0"
"1074","x0"
"1075","x1"
"1076","x0"
"1077","x1"
"1078","x0"
"1079","x1"
"1080","x1"
"1081","x1"
"1082","x1"
"1083","x0"
"1084","x1"
"1085","x0"
"1086","x1"
"1087","x1"
"1088","x0"
"1089","x1"
"1090","x1"
"1091","x0"
"1092","x0"
"1093","x0"
"1094","x0"
"1095","x0"
"1096","x1"
"1097","x0"
"1098","x0"
"1099","x0"
"1100","x1"
"1101","x1"
"1102","x0"
"1103","x0"
"1104","x0"
"1105","x1"
"1106","x1"
"1107","x0"
"1108","x0"
"1109","x0"
"1110","x0"
"1111","x0"
"1112","x1"
"1113","x0"
"1114","x1"
"1115","x0"
"1116","x0"
"1117","x0"
"1118","x0"
"1119","x0"
"1120","x0"
"1121","x1"
"1122","x0"
